,index,Relevance_Score,Interesting_Score,Summary,url,title,impact,impact_summary
0,Software Developer Backend Engineer,0.2,0.4,"⚙️ CleanMax secures a power purchase agreement for a solar-wind power project, reducing CO2 emissions and generating renewable energy.",https://www.pv-magazine-india.com/2024/02/22/cleanmax-to-develop-45-9-mw-solar-wind-project-under-ppa-with-bangalore-international-airport-ltd/,CleanMax to develop 45.9 MW solar-wind project under PPA with Bangalore International Airport Ltd,0.6,"CleanMax secures a power purchase agreement for a solar-wind power project. The project will generate 90 GWh of renewable energy annually, reducing CO2 emissions. Hanwha QCELLS, as a major manufacturer of photovoltaic cells, could potentially supply solar panels for the project."
1,Software Developer DevOps Engineer,0.3,0.3,"⚙️ CleanMax develops a solar-wind power project, utilizing existing grid infrastructure and reducing carbon emissions.",https://www.pv-magazine-india.com/2024/02/22/cleanmax-to-develop-45-9-mw-solar-wind-project-under-ppa-with-bangalore-international-airport-ltd/,CleanMax to develop 45.9 MW solar-wind project under PPA with Bangalore International Airport Ltd,0.6,"CleanMax secures a power purchase agreement for a solar-wind power project. The project will generate 90 GWh of renewable energy annually, reducing CO2 emissions. Hanwha QCELLS, as a major manufacturer of photovoltaic cells, could potentially supply solar panels for the project."
2,PV Technology Strategy,0.8,0.7,"🌞 CleanMax secures a power purchase agreement for a solar-wind power project, contributing to renewable energy and reducing CO2 emissions.",https://www.pv-magazine-india.com/2024/02/22/cleanmax-to-develop-45-9-mw-solar-wind-project-under-ppa-with-bangalore-international-airport-ltd/,CleanMax to develop 45.9 MW solar-wind project under PPA with Bangalore International Airport Ltd,0.6,"CleanMax secures a power purchase agreement for a solar-wind power project. The project will generate 90 GWh of renewable energy annually, reducing CO2 emissions. Hanwha QCELLS, as a major manufacturer of photovoltaic cells, could potentially supply solar panels for the project."
3,Software Technology Strategy,0.6,0.6,"⚙️ CleanMax develops a solar-wind power project, utilizing existing grid infrastructure and reducing carbon emissions.",https://www.pv-magazine-india.com/2024/02/22/cleanmax-to-develop-45-9-mw-solar-wind-project-under-ppa-with-bangalore-international-airport-ltd/,CleanMax to develop 45.9 MW solar-wind project under PPA with Bangalore International Airport Ltd,0.6,"CleanMax secures a power purchase agreement for a solar-wind power project. The project will generate 90 GWh of renewable energy annually, reducing CO2 emissions. Hanwha QCELLS, as a major manufacturer of photovoltaic cells, could potentially supply solar panels for the project."
4,Legal Managers,0.1,0.1,"⚖️ CleanMax secures a power purchase agreement for a solar-wind power project, contributing to renewable energy and reducing CO2 emissions.",https://www.pv-magazine-india.com/2024/02/22/cleanmax-to-develop-45-9-mw-solar-wind-project-under-ppa-with-bangalore-international-airport-ltd/,CleanMax to develop 45.9 MW solar-wind project under PPA with Bangalore International Airport Ltd,0.6,"CleanMax secures a power purchase agreement for a solar-wind power project. The project will generate 90 GWh of renewable energy annually, reducing CO2 emissions. Hanwha QCELLS, as a major manufacturer of photovoltaic cells, could potentially supply solar panels for the project."
5,Software Developer Backend Engineer,0.4,0.6,"(⚙️) GameChange Solar plans to expand its US manufacturing capacity for solar tracking solutions, increasing output by 11 GW. They aim to have 70% US-produced content for solar trackers, with the possibility of 85% upon request.",https://www.pv-magazine-india.com/2024/02/22/gamechange-solar-to-expand-us-production-of-pv-trackers-to-35-gw/,GameChange Solar to expand US production of PV trackers to 35 GW,0.6,"(⚡)GameChange Solar plans to expand its US domestic manufacturing capacity for key components.
- (🌞)The company has a network of manufacturing locations across multiple states in the US.
- (🔋)GameChange Solar has delivered a significant amount of solar tracker and fixed-tilt systems to date."
6,Software Developer DevOps Engineer,0.3,0.4,"(🔧) GameChange Solar is expanding its US manufacturing capacity for solar tracking solutions, aiming for 70% US-produced content.",https://www.pv-magazine-india.com/2024/02/22/gamechange-solar-to-expand-us-production-of-pv-trackers-to-35-gw/,GameChange Solar to expand US production of PV trackers to 35 GW,0.6,"(⚡)GameChange Solar plans to expand its US domestic manufacturing capacity for key components.
- (🌞)The company has a network of manufacturing locations across multiple states in the US.
- (🔋)GameChange Solar has delivered a significant amount of solar tracker and fixed-tilt systems to date."
7,PV Technology Strategy,0.8,0.9,"(☀️) GameChange Solar plans to expand its US manufacturing capacity for solar tracking solutions, increasing output by 11 GW. They aim to have 70% US-produced content for solar trackers, with the possibility of 85% upon request. This expansion aligns with the company's goal of enhancing technological competitiveness in the solar industry.",https://www.pv-magazine-india.com/2024/02/22/gamechange-solar-to-expand-us-production-of-pv-trackers-to-35-gw/,GameChange Solar to expand US production of PV trackers to 35 GW,0.6,"(⚡)GameChange Solar plans to expand its US domestic manufacturing capacity for key components.
- (🌞)The company has a network of manufacturing locations across multiple states in the US.
- (🔋)GameChange Solar has delivered a significant amount of solar tracker and fixed-tilt systems to date."
8,Software Technology Strategy,0.7,0.8,"(💡) GameChange Solar's expansion of US manufacturing capacity for solar tracking solutions presents opportunities for strategic R&D planning and the development of technology roadmaps. The company aims to increase US-produced content for solar trackers, aligning with their focus on TOPCon and Tandem technologies.",https://www.pv-magazine-india.com/2024/02/22/gamechange-solar-to-expand-us-production-of-pv-trackers-to-35-gw/,GameChange Solar to expand US production of PV trackers to 35 GW,0.6,"(⚡)GameChange Solar plans to expand its US domestic manufacturing capacity for key components.
- (🌞)The company has a network of manufacturing locations across multiple states in the US.
- (🔋)GameChange Solar has delivered a significant amount of solar tracker and fixed-tilt systems to date."
9,Legal Managers,0.5,0.3,(⚖️) GameChange Solar's plans to expand its US manufacturing capacity for solar tracking solutions may require legal compliance and risk management.,https://www.pv-magazine-india.com/2024/02/22/gamechange-solar-to-expand-us-production-of-pv-trackers-to-35-gw/,GameChange Solar to expand US production of PV trackers to 35 GW,0.6,"(⚡)GameChange Solar plans to expand its US domestic manufacturing capacity for key components.
- (🌞)The company has a network of manufacturing locations across multiple states in the US.
- (🔋)GameChange Solar has delivered a significant amount of solar tracker and fixed-tilt systems to date."
